Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Abruzzo,Italy,65237,2136,52969.0,10132.0,4973.924579514784,3.2742155525238745
Acre,Brazil,69657,1262,54045.0,14350.0,7898.201114594613,1.811734642605912
Adygea Republic,Russia,14101,163,13365.0,573.0,3110.2219791078487,1.1559463867810793
Aichi,Japan,27394,583,25985.0,826.0,362.726868151286,2.1282032561874864
Akita,Japan,283,6,271.0,6.0,29.281213463150163,2.120141342756184
Alabama,United States,515388,10554,371901.5013038651,132932.4986961349,10575.04131256362,2.472641841280754
Alagoas,Brazil,153490,3554,144928.0,5008.0,4599.148368004981,2.315460290572676
Alaska,United States,62625,313,45492.24776860826,16819.752231391743,6316.025739916579,0.3869106022782209
Alberta,Canada,148332,1990,137992.0,8350.0,3338.6459545713487,1.3415850928997115
Altai Krai,Russia,47137,1832,42198.0,3107.0,2005.7615059912853,3.8865434796444407
Altai Republic,Russia,16655,191,16268.0,196.0,7637.701031353325,1.1468027619333534
Amapa,Brazil,97542,1302,72132.0,24108.0,11533.454490848744,1.3348096204711817
Amazonas,Brazil,349123,12015,298476.0,38632.0,8423.569287918705,3.4414805097343915
Amazonas,Colombia,5858,219,5595.0,44.0,7648.617947747066,3.7384772960054624
Amazonas,Peru,23141,788,0.0,22353.0,5421.977507029053,3.4052115293202543
Amur Oblast,Russia,21887,243,20674.0,970.0,2741.27531236536,1.1102480924749851
Andalusia,Spain,505796,9206,10671.0,485919.0,6001.800079621188,1.8201013847480008
Andaman and Nicobar Islands,India,5083,62,4976.0,45.0,1218.839620560335,1.21975211489278
Andhra Pradesh,India,901989,7217,887434.0,7338.0,1673.3436427647514,0.8001206223135758
Anguilla,United Kingdom,25,0,21.0,4.0,166.6444474070124,0.0
Anhui,China,994,6,988.0,0.0,1.6287826941871515,0.6036217303822937
Antioquia,Colombia,374623,7016,354364.0,13243.0,5846.996036585651,1.8728161378238923
Antofagasta,Chile,43243,867,41196.0,1180.0,7117.790938449535,2.0049487778368755
Antwerp,Belgium,112081,0,0.0,112081.0,5994.5018799505815,0.0
Aomori,Japan,1031,20,870.0,141.0,82.72015314862108,1.939864209505335
Aragon,Spain,110894,3344,3772.0,103778.0,8397.332699271385,3.015492271899291
Arauca,Colombia,5751,173,5450.0,128.0,2193.5813619962314,3.008172491740567
Araucania,Chile,54915,671,51266.0,2978.0,5736.90170743734,1.221888372939998
Arica y Parinacota,Chile,17399,350,16499.0,550.0,7696.356848381903,2.011609862635784
Arizona,United States,841811,16967,607646.715438115,217197.28456188508,11954.319909153844,2.4642835993377803
Arkansas,United States,327607,5626,237197.2119376266,84783.7880623734,11034.658345119582,2.047670020520547
Arkhangelsk Oblast,Russia,59687,825,55265.0,3597.0,5167.580353030403,1.3822105316065474
Aruba,Netherlands,9443,86,8684.0,673.0,8844.575988610606,0.9107275230329344
Arunachal Pradesh,India,16845,56,16785.0,4.0,1072.6170327382204,0.3324428613831998
Assam,India,218412,1105,215445.0,1862.0,613.3955704657161,0.5059245828983755
Astrakhan Oblast,Russia,30712,668,28814.0,1230.0,3018.336848436484,2.1750455847877053
Asturias,Spain,47263,1891,1063.0,44309.0,4623.632245978058,4.001015593593297
Atacama,Chile,14282,170,13602.0,510.0,4942.826291599757,1.1903094804649208
Atlantico,Colombia,151635,4494,137149.0,9992.0,5980.437125840607,2.9636957166880995
Australian Capital Territory,Australia,123,3,120.0,0.0,28.73160476524177,2.4390243902439024
